About,About,
Amended From,Amended From,
Apps,Apps,
Frappe Support,Frappe Support,
Full Name,Full Name,
Guest,Guest,
Keyboard Shortcuts,Keyboard Shortcuts,
Keyword,Keyword,
Log out,Log out,
Name,Name,
Naming Series,Naming Series,
Photo,Photo,
Reload,Reload,
Session Defaults,Session Defaults,
Sort Order,Sort Order,
System Health,System Health,
System Manager,System Manager,
Title,Title,
Toggle Full Width,Toggle Full Width,
Toggle Theme,Toggle Theme,
User,User,
User Info,User Info,
User Settings,User Settings,
Username,Username,
View Website,View Website,
Workspace Settings,Workspace Settings,
